type,ident,Latitude,Longitude,y_proj,x_proj,comment,display,symbol,dist,proximity,color,altitude,depth,temp,time,wpt_class,sub_class,attrib,link,state,country,city,address,zip,facility,crossroad,ete,dtype,model,filename,ltime,magvar,geoidheight,desc,fix,sat,hdop,vdop,pdop,ageofdgpsdata,dgpsid,dir
WAYPOINT,AIElee03C,-17.008995,-149.535992,-17.008995,-149.535992,2023-09-28T00:00,,Flag, Blue,,,,10.851159,,,2023/09/28 00:00:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 01:00:53,,,,,,,,,,,
WAYPOINT,AIElee03BfishS,-17.00893,-149.535935,-17.00893,-149.535935,2023-09-27T23:56,,Flag, Blue,,,,10.527406,,,2023/09/27 23:56:46+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:56:46,,,,,,,,,,,
WAYPOINT,AIElee03B,-17.008919,-149.535944,-17.008919,-149.535944,2023-09-27T23:55,,Flag, Blue,,,,9.472881,,,2023/09/27 23:55:47+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:55:47,,,,,,,,,,,
WAYPOINT,AIElee03A,-17.00886,-149.535885,-17.00886,-149.535885,2023-09-27T23:50,,Flag, Blue,,,,2.094168,,,2023/09/27 23:50:53+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:50:53,,,,,,,,,,,
WAYPOINT,AIElee02DfishE,-17.009279,-149.5354,-17.009279,-149.5354,2023-09-27T23:38,,Flag, Blue,,,,5.099576,,,2023/09/27 23:38:37+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:38:37,,,,,,,,,,,
WAYPOINT,AIElee02D,-17.009296,-149.535668,-17.009296,-149.535668,2023-09-27T23:28,,Flag, Blue,,,,8.983061,,,2023/09/27 23:28:56+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:28:56,,,,,,,,,,,
WAYPOINT,AIElee02DfishS,-17.0093,-149.535673,-17.0093,-149.535673,2023-09-27T23:28,,Flag, Blue,,,,8.92742,,,2023/09/27 23:28:04+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:28:04,,,,,,,,,,,
WAYPOINT,AIElee02C,-17.009196,-149.535659,-17.009196,-149.535659,2023-09-27T23:23,,Flag, Blue,,,,6.979037,,,2023/09/27 23:23:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:23:22,,,,,,,,,,,
WAYPOINT,AIElee02B,-17.009127,-149.535625,-17.009127,-149.535625,2023-09-27T23:18,,Flag, Blue,,,,11.881117,,,2023/09/27 23:18:40+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:18:40,,,,,,,,,,,
WAYPOINT,AIElee02A,-17.009053,-149.53564,-17.009053,-149.53564,2023-09-27T23:15,,Flag, Blue,,,,10.370744,,,2023/09/27 23:15:41+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:15:41,,,,,,,,,,,
WAYPOINT,AIElee01EfishE,-17.0096,-149.535366,-17.0096,-149.535366,2023-09-27T23:02,,Flag, Blue,,,,14.378789,,,2023/09/27 23:02:59+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/28 00:02:59,,,,,,,,,,,
WAYPOINT,AIElee01EfishS,-17.009533,-149.535626,-17.009533,-149.535626,2023-09-27T22:59,,Flag, Blue,,,,13.325011,,,2023/09/27 22:59:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 23:59:22,,,,,,,,,,,
WAYPOINT,AIElee01D,-17.00936,-149.535614,-17.00936,-149.535614,2023-09-27T22:54,,Flag, Blue,,,,14.952332,,,2023/09/27 22:54:50+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 23:54:50,,,,,,,,,,,
WAYPOINT,AIElee01C,-17.009284,-149.535585,-17.009284,-149.535585,2023-09-27T22:49,,Flag, Blue,,,,9.323466,,,2023/09/27 22:49:04+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 23:49:04,,,,,,,,,,,
WAYPOINT,AIElee01B,-17.009195,-149.53551,-17.009195,-149.53551,2023-09-27T22:45,,Flag, Blue,,,,10.17932,,,2023/09/27 22:45:12+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 23:45:12,,,,,,,,,,,
WAYPOINT,AIElee01A,-17.00912,-149.535584,-17.00912,-149.535584,2023-09-27T22:40,,Flag, Blue,,,,8.365392,,,2023/09/27 22:40:22+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 23:40:22,,,,,,,,,,,
WAYPOINT,AIEwind01BfishE,-17.007534,-149.535948,-17.007534,-149.535948,2023-09-27T21:27,,Flag, Blue,,,,7.233759,,,2023/09/27 21:27:47+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 22:27:47,,,,,,,,,,,
WAYPOINT,AIEwind01D,-17.007514,-149.536205,-17.007514,-149.536205,2023-09-27T21:16,,Flag, Blue,,,,5.876258,,,2023/09/27 21:16:49+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 22:16:49,,,,,,,,,,,
WAYPOINT,AIEwind01C,-17.007613,-149.536219,-17.007613,-149.536219,2023-09-27T21:09,,Flag, Blue,,,,11.487518,,,2023/09/27 21:09:41+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 22:09:41,,,,,,,,,,,
WAYPOINT,AIEwind01B,-17.007696,-149.536187,-17.007696,-149.536187,2023-09-27T21:03,,Flag, Blue,,,,10.581599,,,2023/09/27 21:03:23+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 22:03:23,,,,,,,,,,,
WAYPOINT,AIEwind01BfishS,-17.007713,-149.536184,-17.007713,-149.536184,2023-09-27T21:02,,Flag, Blue,,,,9.286518,,,2023/09/27 21:02:40+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 22:02:40,,,,,,,,,,,
WAYPOINT,AIEwind01A,-17.007785,-149.536166,-17.007785,-149.536166,2023-09-27T20:56,,Flag, Blue,,,,14.409029,,,2023/09/27 20:56:57+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:56:57,,,,,,,,,,,
WAYPOINT,AIEwind02DfishE,-17.007364,-149.535887,-17.007364,-149.535887,2023-09-27T20:44,,Flag, Blue,,,,13.701853,,,2023/09/27 20:44:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:44:10,,,,,,,,,,,
WAYPOINT,AIEwind02D,-17.007469,-149.536126,-17.007469,-149.536126,2023-09-27T20:35,,Flag, Blue,,,,8.805938,,,2023/09/27 20:35:08+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:35:08,,,,,,,,,,,
WAYPOINT,AIEwind02DfishS,-17.007495,-149.536095,-17.007495,-149.536095,2023-09-27T20:34,,Flag, Blue,,,,12.119419,,,2023/09/27 20:34:28+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:34:28,,,,,,,,,,,
WAYPOINT,AIEwind02C,-17.007588,-149.536079,-17.007588,-149.536079,2023-09-27T20:29,,Flag, Blue,,,,8.465217,,,2023/09/27 20:29:59+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:29:59,,,,,,,,,,,
WAYPOINT,AIEwind02B,-17.007677,-149.536097,-17.007677,-149.536097,2023-09-27T20:25,,Flag, Blue,,,,7.898025,,,2023/09/27 20:25:10+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:25:10,,,,,,,,,,,
WAYPOINT,AIEwind02A,-17.007735,-149.536017,-17.007735,-149.536017,2023-09-27T20:18,,Flag, Blue,,,,8.726075,,,2023/09/27 20:18:47+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:18:47,,,,,,,,,,,
WAYPOINT,AIEwind03EfishE,-17.007304,-149.535746,-17.007304,-149.535746,2023-09-27T20:05,,Flag, Blue,,,,9.358028,,,2023/09/27 20:05:30+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:05:30,,,,,,,,,,,
WAYPOINT,AIEwind03EfishS,-17.0074,-149.535988,-17.0074,-149.535988,2023-09-27T20:01,,Flag, Blue,,,,4.63531,,,2023/09/27 20:01:00+00,,,,,,,,,,,,,,garmin GPS 73 Worldwide Software Version 250,,2023/09/27 21:01:00,,,,,,,,,,,
